Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,220.190002,226.570007,220.050003,226.449997,224.644714,157600
2019-01-03,225.880005,226.300003,221.029999,222.669998,220.894867,217300
2019-01-04,224.100006,229.149994,224.100006,228.500000,226.678375,293900
2019-01-07,228.970001,228.970001,226.589996,226.750000,224.942337,222000
2019-01-08,226.770004,228.779999,226.119995,227.490005,225.676437,232100
2019-01-09,229.130005,231.990005,225.960007,226.350006,224.545532,375900
2019-01-10,226.380005,231.149994,224.639999,230.470001,228.632675,314100
2019-01-11,230.009995,230.910004,228.160004,229.759995,227.928314,139000
2019-01-14,227.369995,231.539993,223.639999,230.850006,229.009644,256800
2019-01-15,231.380005,231.619995,229.570007,229.970001,228.136658,282800
2019-01-16,231.000000,233.710007,229.360001,232.139999,230.289368,253100
2019-01-17,231.470001,234.259995,230.940002,233.589996,231.727798,196400
2019-01-18,234.000000,234.889999,229.509995,232.050003,230.200073,400100
2019-01-22,230.330002,232.289993,227.270004,232.289993,230.438156,250300
2019-01-23,233.500000,237.250000,232.179993,234.410004,232.541260,236000
2019-01-24,234.960007,238.570007,232.979996,234.729996,232.858704,199400
2019-01-25,235.259995,239.509995,233.779999,236.229996,234.346756,161300
2019-01-28,234.660004,237.429993,227.770004,236.570007,234.684052,207800
2019-01-29,237.509995,239.720001,236.149994,239.679993,237.769241,234000
2019-01-30,240.070007,242.580002,235.940002,236.300003,234.416199,317300
2019-01-31,236.190002,243.130005,235.190002,242.779999,240.844528,248000
2019-02-01,242.009995,244.750000,241.820007,242.949997,241.013184,139100
2019-02-04,243.479996,246.539993,241.559998,246.419998,244.455521,153400
2019-02-05,246.600006,249.669998,245.850006,248.490005,246.509018,184700
2019-02-06,247.320007,250.410004,246.380005,246.789993,244.822571,178200
2019-02-07,242.970001,245.389999,233.539993,237.449997,235.557022,260400
2019-02-08,237.779999,240.699997,236.179993,239.610001,237.699799,175700
2019-02-11,237.300003,240.990005,228.940002,236.500000,234.614609,609700
2019-02-12,238.500000,241.850006,238.500000,240.130005,238.215668,353100
2019-02-13,240.169998,241.949997,238.070007,240.139999,238.225586,323300
2019-02-14,238.589996,238.589996,234.160004,236.339996,234.455872,214900
2019-02-15,236.759995,239.360001,236.350006,239.080002,237.174026,155400
2019-02-19,237.649994,240.589996,236.320007,239.710007,237.799026,170100
2019-02-20,241.000000,242.419998,239.610001,240.970001,239.048965,174500
2019-02-21,240.960007,240.960007,237.449997,239.130005,237.223633,195400
2019-02-22,240.490005,242.690002,238.880005,242.610001,240.675888,169500
2019-02-25,244.539993,244.539993,240.419998,241.800003,239.872345,185100
2019-02-26,241.520004,243.279999,238.600006,241.809998,239.882263,161200
2019-02-27,242.429993,244.399994,240.119995,243.440002,241.499268,271100
2019-02-28,242.809998,245.199997,237.809998,243.089996,241.152054,223400
2019-03-01,242.929993,244.770004,238.929993,239.100006,237.193878,218400
2019-03-04,239.000000,241.660004,238.860001,241.589996,239.664017,121000
2019-03-05,242.000000,242.000000,237.729996,237.929993,236.033188,132600
2019-03-06,238.869995,241.259995,237.850006,240.600006,238.681915,157100
2019-03-07,239.910004,239.910004,235.149994,236.250000,234.366592,133400
2019-03-08,234.960007,236.320007,232.850006,235.610001,233.731689,123200
2019-03-11,236.960007,242.440002,236.960007,242.410004,240.477493,158700
2019-03-12,243.089996,243.869995,239.960007,240.339996,238.423981,166700
2019-03-13,241.289993,244.009995,240.000000,243.570007,241.628235,99500
2019-03-14,242.070007,246.919998,241.759995,246.470001,244.505127,181300
2019-03-15,246.470001,250.589996,245.880005,248.190002,246.211411,451300
2019-03-18,248.479996,251.240005,248.479996,250.699997,248.701401,204200
2019-03-19,251.679993,252.490005,248.330002,249.309998,247.322479,187100
2019-03-20,248.320007,250.179993,247.000000,248.110001,246.132050,203600
